_id,代码,股票名称
ObjectId(5d84193b067cbab2e4415719),603789,星光农机
ObjectId(5d84193b067cbab2e441571a),603788,宁波高发
ObjectId(5d84193b067cbab2e441571b),603787,新日股份
ObjectId(5d84193b067cbab2e441571c),603779,威龙股份
ObjectId(5d84193b067cbab2e441571d),603778,乾景园林
ObjectId(5d84193b067cbab2e441571e),603777,来伊份
ObjectId(5d84193b067cbab2e441571f),603776,永安行
ObjectId(5d84193b067cbab2e4415720),603773,沃格光电
ObjectId(5d84193b067cbab2e4415721),603768,常青股份
ObjectId(5d84193b067cbab2e4415722),603767,中马传动
ObjectId(5d84193b067cbab2e4415723),603809,豪能股份
ObjectId(5d84193b067cbab2e4415724),603810,丰山集团
ObjectId(5d84193b067cbab2e4415725),603808,歌力思
ObjectId(5d84193b067cbab2e4415726),603766,隆鑫通用
ObjectId(5d84193b067cbab2e4415727),603757,大元泵业
ObjectId(5d84193b067cbab2e4415728),603758,秦安股份
ObjectId(5d84193b067cbab2e4415729),603739,蔚蓝生物
ObjectId(5d84193b067cbab2e441572a),603738,泰晶科技
ObjectId(5d84193b067cbab2e441572b),603737,三棵树
ObjectId(5d84193b067cbab2e441572c),603728,鸣志电器
ObjectId(5d84193b067cbab2e441572d),603727,博迈科
ObjectId(5d84193b067cbab2e441572e),603733,仙鹤股份
ObjectId(5d84193b067cbab2e441572f),603730,岱美股份
ObjectId(5d84193b067cbab2e4415730),603729,龙韵股份
ObjectId(5d84193b067cbab2e4415731),603726,朗迪集团
ObjectId(5d84193b067cbab2e4415732),603725,DR天安新
ObjectId(5d84193b067cbab2e4415733),603722,阿科力
ObjectId(5d84193b067cbab2e4415734),603721,中广天择
ObjectId(5d84193b067cbab2e4415735),603718,海利生物
ObjectId(5d84193b067cbab2e4415736),603717,天域生态
ObjectId(5d84193b067cbab2e4415737),603716,塞力斯
ObjectId(5d84193b067cbab2e4415738),603713,密尔克卫
ObjectId(5d84193b067cbab2e4415739),603712,七一二
ObjectId(5d84193b067cbab2e441573a),603711,香飘飘
ObjectId(5d84193b067cbab2e441573b),603709,中源家居
ObjectId(5d84193b067cbab2e441573c),603708,家家悦
ObjectId(5d84193b067cbab2e441573d),603707,健友股份
ObjectId(5d84193b067cbab2e441573e),603706,东方环宇
ObjectId(5d84193b067cbab2e441573f),603703,盛洋科技
ObjectId(5d84193b067cbab2e4415740),603701,德宏股份
ObjectId(5d84193b067cbab2e4415741),603700,宁波水表
ObjectId(5d84193b067cbab2e4415742),603699,纽威股份
ObjectId(5d84193b067cbab2e4415743),603698,航天工程
ObjectId(5d84193b067cbab2e4415744),603697,有友食品
ObjectId(5d84193b067cbab2e4415745),603696,安记食品
ObjectId(5d84193b067cbab2e4415746),603693,江苏新能
ObjectId(5d84193b067cbab2e4415747),603690,至纯科技
ObjectId(5d84193b067cbab2e4415748),603689,皖天然气
ObjectId(5d84193b067cbab2e4415749),603688,石英股份
ObjectId(5d84193b067cbab2e441574a),603686,龙马环卫
ObjectId(5d84193b067cbab2e441574b),603685,DR晨丰科
ObjectId(5d84193b067cbab2e441574c),603683,晶华新材
ObjectId(5d84193b067cbab2e441574d),603681,永冠新材
ObjectId(5d84193b067cbab2e441574e),603680,今创集团
ObjectId(5d84193b067cbab2e441574f),603679,华体科技
ObjectId(5d84193b067cbab2e4415750),603678,火炬电子
ObjectId(5d84193b067cbab2e4415751),603677,奇精机械
ObjectId(5d84193b067cbab2e4415752),603667,五洲新春
ObjectId(5d84193b067cbab2e4415753),603666,亿嘉和
ObjectId(5d84193b067cbab2e4415754),603665,康隆达
ObjectId(5d84193b067cbab2e4415755),603663,三祥新材
ObjectId(5d84193b067cbab2e4415756),603661,恒林股份
ObjectId(5d84193b067cbab2e4415757),603660,苏州科达
ObjectId(5d84193b067cbab2e4415758),603659,璞泰来
ObjectId(5d84193b067cbab2e4415759),603658,安图生物
ObjectId(5d84193b067cbab2e441575a),603657,春光科技
ObjectId(5d84193b067cbab2e441575b),603669,灵康药业
ObjectId(5d84193b067cbab2e441575c),603656,泰禾光电
ObjectId(5d84193b067cbab2e441575d),603655,朗博科技
ObjectId(5d84193b067cbab2e441575e),603676,XD卫信康
ObjectId(5d84193b067cbab2e441575f),603650,彤程新材
ObjectId(5d84193b067cbab2e4415760),603668,天马科技
ObjectId(5d84193b067cbab2e4415761),603648,畅联股份
ObjectId(5d84193b067cbab2e4415762),603636,南威软件
ObjectId(5d84193b067cbab2e4415763),603639,海利尔
ObjectId(5d84193b067cbab2e4415764),603633,徕木股份
ObjectId(5d84193b067cbab2e4415765),603630,拉芳家化
ObjectId(5d84193b067cbab2e4415766),603629,利通电子
ObjectId(5d84193b067cbab2e4415767),603628,清源股份
ObjectId(5d84193b067cbab2e4415768),603626,科森科技
ObjectId(5d84193b067cbab2e4415769),603619,中曼石油
ObjectId(5d84193b067cbab2e441576a),603638,艾迪精密
ObjectId(5d84193b067cbab2e441576b),603637,镇海股份
ObjectId(5d84193b067cbab2e441576c),603618,杭电股份
ObjectId(5d84193b067cbab2e441576d),603617,DR君禾股
ObjectId(5d84193b067cbab2e441576e),603616,韩建河山
ObjectId(5d84193b067cbab2e441576f),603615,茶花股份
ObjectId(5d84193b067cbab2e4415770),603612,索通发展
ObjectId(5d84193b067cbab2e4415771),603611,诺力股份
ObjectId(5d84193b067cbab2e4415772),603609,禾丰牧业
